name_long,Total,Mammals,Birds,Amphibians ,Reptiles,,,,,,,
Maldives,0,0,0,0,0,,,,,,,
Mali,0,0,0,0,0,,,,,,,
Malta,0,0,0,0,0,,,,,,,
Marshall Islands,0,0,0,0,0,,,,,,,
Mauritius,0,0,0,0,0,,,,,,,
Moldova,0,0,0,0,0,,,,,,,
Monaco,0,0,0,0,0,,,,,,,
Montenegro,0,0,0,0,0,,,,,,,
Montserrat,0,0,0,0,0,,,,,,,
Nauru,0,0,0,0,0,,,,,,,
Nepal,0,0,0,0,0,,,,,,,
Netherlands,0,0,0,0,0,,,,,,,
Niger,0,0,0,0,0,,,,,,,
Niue,0,0,0,0,0,,,,,,,
Norfolk Island,0,0,0,0,0,,,,,,,
Northern Cyprus,0,0,0,0,0,,,,,,,
Northern Mariana Islands,0,0,0,0,0,,,,,,,
Norway,0,0,0,0,0,,,,,,,
Oman,0,0,0,0,0,,,,,,,
Pakistan,0,0,0,0,0,,,,,,,
Palestine,0,0,0,0,0,,,,,,,
Pitcairn Islands,0,0,0,0,0,,,,,,,
Poland,0,0,0,0,0,,,,,,,
Portugal,0,0,0,0,0,,,,,,,
Qatar,0,0,0,0,0,,,,,,,
Romania,0,0,0,0,0,,,,,,,
Saint Helena,0,0,0,0,0,,,,,,,
Saint Kitts and Nevis,0,0,0,0,0,,,,,,,
Saint Pierre and Miquelon,0,0,0,0,0,,,,,,,
Saint Vincent and the Grenadines,0,0,0,0,0,,,,,,,
Saint-Barthélemy,0,0,0,0,0,,,,,,,
San Marino,0,0,0,0,0,,,,,,,
São Tomé and Principe,0,0,0,0,0,,,,,,,
Saudi Arabia,0,0,0,0,0,,,,,,,
Senegal,0,0,0,0,0,,,,,,,
Serbia,0,0,0,0,0,,,,,,,
Seychelles,0,0,0,0,0,,,,,,,
Siachen Glacier,0,0,0,0,0,,,,,,,
Sint Maarten,0,0,0,0,0,,,,,,,
Slovakia,0,0,0,0,0,,,,,,,
Slovenia,0,0,0,0,0,,,,,,,
Somaliland,0,0,0,0,0,,,,,,,
South Georgia and South Sandwich Islands,0,0,0,0,0,,,,,,,
Sri Lanka,0,0,0,0,0,,,,,,,
Swaziland,0,0,0,0,0,,,,,,,
Sweden,0,0,0,0,0,,,,,,,
Switzerland,0,0,0,0,0,,,,,,,
Syria,0,0,0,0,0,,,,,,,
Taiwan,0,0,0,0,0,,,,,,,
Tajikistan,0,0,0,0,0,,,,,,,
Timor-Leste,0,0,0,0,0,,,,,,,
Tonga,0,0,0,0,0,,,,,,,
Trinidad and Tobago,0,0,0,0,0,,,,,,,
Turkey,0,0,0,0,0,,,,,,,
Turkmenistan,0,0,0,0,0,,,,,,,
Turks and Caicos Islands,0,0,0,0,0,,,,,,,
Ukraine,0,0,0,0,0,,,,,,,
United Arab Emirates,0,0,0,0,0,,,,,,,
United Kingdom,0,0,0,0,0,,,,,,,
Uzbekistan,0,0,0,,0,,,,,,,
Vatican,0,0,0,0,0,,,,,,,
Wallis and Futuna Islands,0,0,0,0,0,,,,,,,
Western Sahara,0,0,0,0,0,,,,,,,
Zimbabwe,0,0,0,0,0,,,,,,,
